current_location	address	registration	user_id	mail	residence	name	job	username	company	blood_group	ssn	station_ID
(Decimal('38.058309'), Decimal('-89.727918'))	"Viale Bruno, 16
86015, Jelsi (CB)"	2019/06/18	1772	marina98@live.com		Gianni Adinolfi		leonardocoardi	Dalla, Mazzi e Scialpi Group	A+	RSSGVN51H50C722A	574
(Decimal('-70.3353405'), Decimal('43.614173'))	"Albersplatz 13
16864 Peine"	17 May 2019	1820	beyercordula@gmx.de		Thorben Gute	Elektroniker	hernst	Roht GbR	B+	587-04-4671	405
(Decimal('47.8110655'), Decimal('-150.949661'))	"Viaduto de Almeida, 32
João Paulo Ii
76131-965 Mendes das Flores / PA"	2025-08-11	1372	montenegrolivia@ig.com.br		Thales Sales		fernandeshenry	Carvalho	AB-	93421680515	592
(Decimal('56.948029'), Decimal('173.715769'))	"Liselotte-Loos-Platz 29
25571 Apolda"	23 Oct 2019	1249	budigbeate@googlemail.com		Meinhard Jopich		oloechel	Kohl	B+	866-76-1039	161
(Decimal('-58.3239995'), Decimal('-177.562201'))	"45126 Taylor Forge Apt. 817
Loriton, LA 02434"	05/09/2020, 00:00:00	1381	austin62@gmail.com		Peter Smith		jason53	Stewart Ltd	O-	115-65-2783	281
(Decimal('-26.9254205'), Decimal('-61.190101'))	"Melissa-Kaul-Gasse 13
13847 Genthin"	14 Sep 2024	807	grafruediger@googlemail.com		Frau Hubertine Metz	Fleischer	hendriksrabea	Röhrdanz Trub AG	B+	400-48-5547	391
(Decimal('42.136353'), Decimal('-177.428982'))	"Erdogan-Gieß-Straße 14-36
07724 Dieburg"	11 May 2019	1208	oswald28@gmx.de		Prof. Mona Gröttner		hannelore66	Langern KG	O-	105-94-1590	333
(Decimal('-44.0921245'), Decimal('-26.600284'))	"Condomínio Gael Henrique Ribeiro, 18
Cruzeiro
40190-580 Cavalcanti do Norte / BA"	17 Aug 2024	21	araujoaurora@gmail.com		Gabriel Pinto		cassianoapollo	Melo - ME	A+	35289614060	152
(Decimal('-3.6748395'), Decimal('-0.783486'))		10/06/2023, 00:00:00	743	hermannjobst@yahoo.de		Univ.Prof. Dietlind Drubin MBA.		mreuter	Jäkel	B-	768-02-7075	98
(Decimal('-3.569034'), Decimal('-50.778878'))	"Vanessa-Rogge-Allee 22/36
60725 Sonneberg"	2021-01-18	1391	wilhelmgierschner@yahoo.de		Eric Förster B.Sc.		bolnbachcaroline	Fiebig Kraushaar Stiftung & Co. KGaA	O+	570-27-1069	338
	"Mentzelweg 7/9
97022 Amberg"	29 Jul 2024	584	qweinhage@aol.de		Henrik Steckel-Zobel		fgertz	Krause KG	AB+	241-72-6601	406
(Decimal('44.4870385'), Decimal('-73.839961'))	"Luciano-Stroh-Gasse 7/3
79257 Ebern"	2021-06-01	807	anneli15@hotmail.de		Helen Grein Groth-Textor		knappeemmerich	Eimer	A+	797-18-5449	125
(Decimal('12.169913'), Decimal('-29.241757'))	広島県長生郡長南町湯本塩原32丁目15番14号 東浅草コート822	2021-06-28	122	ayamada@gmail.com		鈴木 香織		kenichi56	中島銀行株式会社	O+	789-71-9491	642
(Decimal('-52.061138'), Decimal('134.964281'))	"Marit-Weihmann-Weg 7/7
09231 Worbis"	2022-11-13	252	sonja63@yahoo.de		Elise Rosenow	Schornsteinfeger	ebruder	Biggen Tschentscher KG	B+	435-56-2484	106
	"73434 Contreras Villages Apt. 392
South Breannabury, NV 93602"	30 Jan 2024	1381	christopher56@hotmail.com		Christopher Jones		jcarpenter	Mack, Schroeder and Dixon	A-	855-81-2644	169
(Decimal('-3.6258765'), Decimal('-34.667866'))	大分県横浜市神奈川区元浅草42丁目21番13号 シャルム月島802	11/06/2023, 00:00:00	50	okamotohiroshi@yahoo.com		後藤 花子		vwatanabe	合同会社佐藤通信	AB+	896-42-6529	452
	"Vicolo Baggio, 496
10066, Torre Pellice (TO)"	2022-01-16	220	valguarneraemilio@hotmail.it		Ronaldo Seddio-Toso		gaiattocarolina	Castelli-Canali e figli	B-	PRCFRC50B17D704W	335
(Decimal('-32.448157'), Decimal('-106.304854'))	"Estação André Rezende, 83
Vila Madre Gertrudes 1ª Seção
35983-757 Montenegro de Fonseca / BA"	06 Oct 2021	654	costelagabrielly@uol.com.br		Calebe Sá		rrocha	Casa Grande Ltda.	B+	01975234634	172
(Decimal('33.1104115'), Decimal('21.189958'))	"Gerfried-Schmiedt-Platz 6314
41158 Mayen"	09/25/2023, 00:00:00	1189	lucie94@yahoo.de		Frederike Binner		claus-dieter38	Ackermann e.G.	A+	718-47-5297	219
(Decimal('-36.6516095'), Decimal('117.179441'))	"Via Lolita, 799
31100, Fiera (TV)"	07 Jan 2021	227	silviasatriani@gmail.com		Antonina Bonaventura		adelmosollima	Miniati-Rosmini SPA	A+	RMZRNT49A18L562R	585
(Decimal('-53.5637485'), Decimal('11.672875'))	"Lagoa Gustavo Henrique Sales, 18
Milionario
64970310 Andrade de Goiás / GO"	24 Oct 2023	2115	mdias@ig.com.br		Kamilly Cunha	Pescador	mcardoso	Caldeira S/A	B-	47139065810	240
(Decimal('-3.275276'), Decimal('145.074602'))	愛知県横浜市神奈川区鶴ヶ丘19丁目10番8号 アーバン戸塚町196	2025-02-26	772	junyamada@yahoo.com		福田 真綾		junmatsumoto	株式会社長谷川運輸	A-	340-12-3109	127
(Decimal('-42.215168'), Decimal('-96.175140'))	滋賀県いすみ市丹勢25丁目6番3号 轟コーポ918	09 Jun 2024	732	morikana@hotmail.com		西村 花子		yoichi70	合同会社斎藤鉱業	B+	746-55-2711	522
(Decimal('-26.1031105'), Decimal('-171.024045'))	"Colônia de Brito, 2
Santa Helena
73889-653 Santos Grande / RO"	2022/01/18	2154	gomeslucas@ig.com.br		Olivia Castro		caroline30	Machado	A+	72053814950	600
(Decimal('23.822722'), Decimal('163.022770'))	"958 Ortiz Squares Apt. 565
Howardport, MI 43666"	2022-07-24	205	georgenelson@gmail.com		Zachary Sutton		woodsjames	Austin-Goodwin	A+	845-08-4969	614
(Decimal('42.633860'), Decimal('166.506102'))	"Incrocio Stefani, 0
80142, Napoli (NA)"	16 Mar 2025	1595	marcellostaglieno@hotmail.com		Rosario Orengo		raffaelecostanzi	Busoni-Antonetti Group	AB-	GLTMRH38D07E554H	396
	"Trevo Clarice Jesus, 36
Vila Do Pombal
88819914 Camargo do Galho / MA"	2025/06/22	1783	marcos-viniciusmartins@ig.com.br		Catarina Sampaio		luigifogaca	Cassiano Albuquerque - ME	AB+	49576230152	496
(Decimal('29.177801'), Decimal('-62.278150'))	"Feira Maria Sophia Novaes, 53
Vila Minaslandia
45404-957 da Cruz / PR"	04/29/2024, 00:00:00	1295	ninaferreira@ig.com.br		Ana Clara Lopes		gael52	Pastor Nogueira S/A	AB-	04527618326	145
(Decimal('-87.9923105'), Decimal('29.979580'))		2021-11-04	1531	miurarei@hotmail.com		太田 晃		vhayashi	斎藤建設株式会社	A-	057-50-8665	187
(Decimal('83.137167'), Decimal('108.614358'))	"Junkallee 8600
05649 Sulzbach-Rosenberg"	08/10/2020, 00:00:00	583	kackermann@hotmail.de		Sylwia Jungfer		natalijaschuchhardt	Käster e.G.	B-	148-18-1640	259
(Decimal('87.169995'), Decimal('-104.024641'))	"Rotonda Fredo, 45 Piano 0
23847, Luzzana (LC)"	01 Mar 2021	1819	antonioioppi@hotmail.it		Melania Toninelli		fischettimanuel	Natta-Modiano e figli	B-	PRZCSR40A69D690J	514
(Decimal('57.2574445'), Decimal('118.209020'))	"6413 Savage Crossing Suite 145
Davisview, NV 95459"	09/05/2023, 00:00:00	287	lopezpaul@gmail.com		Nicholas Nelson		debramitchell	Jackson and Sons	AB+	439-68-6057	2
(Decimal('54.434179'), Decimal('-45.069556'))	"Canale Costalonga, 5 Appartamento 35
12036, Revello (CN)"	2020-10-21	274	mauragranatelli@tele2.it		Franco Rismondo	Designer, jewellery	canalimaria	Romagnoli, Tasso e Priuli s.r.l.	AB+	CHNDRD95E43E558D	184
(Decimal('-11.910788'), Decimal('104.543293'))		03/08/2023, 00:00:00	71	hhunter@gmail.com		Bruce Arnold		danielpeters	Cruz, Bright and Owens	B-	033-88-8170	147
(Decimal('63.4885875'), Decimal('21.971738'))	"Sítio de Cavalcante, 80
Granja Werneck
37276476 Vargas / TO"	27 Mar 2019	14	nascimentomathias@ig.com.br		Maria Luiza Machado		mayasampaio	Martins	AB-	73405628180	348
(Decimal('5.510619'), Decimal('-87.289588'))	"Imke-Henk-Straße 80/64
36737 Garmisch-Partenkirchen"	06/10/2019, 00:00:00	2070	martine19@gmail.com		Frau Annita Fritsch		aureliajaentsch	Schuchhardt Holzapfel Stiftung & Co. KGaA	O-	295-74-4812	615
(Decimal('-56.1304445'), Decimal('-107.114028'))	"Trevo Brenda Barbosa, 498
Tiradentes
38662-485 da Rosa Alegre / MT"	04/08/2024, 00:00:00	1555	ana-lizpeixoto@hotmail.com		João Miguel Andrade		maria74	Leão Martins e Filhos	O+	90381526712	127
(Decimal('-81.7438945'), Decimal('-127.285091'))	"992 Hensley Crossing Suite 233
West Wesleyview, AZ 66110"	28 Apr 2019	1133	vanessamorgan@hotmail.com		Penny Zavala	Arts administrator	miguelmarsh	Campbell LLC	A+	504-14-1913	121
(Decimal('-89.0181225'), Decimal('10.203736'))	"29626 Michael Fort Apt. 263
Lopezshire, VT 39494"	2019-04-29	1799	jessicaguzman@hotmail.com		Christopher Garcia		stephensphilip	Lloyd, Williams and Lloyd	A-	355-91-3342	298
(Decimal('57.8790675'), Decimal('21.292539'))	"Heuserstr. 0
17026 Schwandorf"	14 Aug 2025	1463	ulfweinhage@googlemail.com		Bernd auch Schlauchin	Friseur	annelie50	Ortmann Seifert GmbH	AB-	160-58-2723	319
(Decimal('-57.6047075'), Decimal('-19.810676'))	"586 Livingston Plaza Suite 302
Lake Tammymouth, NE 22817"	28 Feb 2019	2031	larsencynthia@gmail.com		Angela Harris		rodneybrown	Gordon-Jones	AB-	313-24-4521	642
(Decimal('27.1583565'), Decimal('30.678657'))	岐阜県長生郡長生村下吉羽28丁目9番4号	2022/06/05	1735	hashimotoshota@yahoo.com		橋本 さゆり	ゲームクリエイター	kimuramituru	山口水産合同会社	AB+	853-24-2714	724
(Decimal('-79.205581'), Decimal('159.325611'))	"Kurt-Cichorius-Ring 22-60
28475 Pirmasens"	2023/06/29	1377	schueleredeltraud@web.de		Prof. Swantje Spieß B.A.	Koreanistiker	hans-jochen71	Barkholz GmbH	B+	086-58-8326	71
(Decimal('76.417447'), Decimal('-14.743817'))	"Weinhagestraße 85
54676 Sulzbach-Rosenberg"	03/06/2022, 00:00:00	1856	viola30@googlemail.com		Prof. Evangelia Jäkel		emiliekusch	Seifert GmbH	O-	165-53-7538	716
(Decimal('69.313534'), Decimal('21.275185'))	愛媛県横浜市泉区木立37丁目18番7号 太田ヶ谷ハイツ730	11/29/2018, 00:00:00	817	inouemiki@yahoo.com		斎藤 さゆり	バスガイド	kaoriyamamoto	橋本食品有限会社	O-	892-82-3728	193
(Decimal('9.134372'), Decimal('-138.174033'))	福岡県大田区東三島28丁目27番10号 シティ南郷屋301	2023/07/24	1058	yuki29@hotmail.com		斎藤 京助		shotatakahashi	藤井銀行株式会社	A+	820-70-8714	547
(Decimal('7.058489'), Decimal('-82.100105'))	"Contrada Ronaldo, 20 Appartamento 0
30038, Fornase (VE)"	11 Feb 2023	767	zamoraniludovico@fastwebnet.it		Jacopo Canetta-Petrucelli	International aid/development worker	fantiniannunziata	Cadorna, Parisi e Mazzeo SPA	AB-	CLLSPH87D14A766Z	681
(Decimal('3.7085495'), Decimal('154.807645'))	"3422 Burns Stream
Avilatown, TX 77142"	24 May 2025	1623	brittany09@yahoo.com		Paul Russell		gregoryburch	Williams Ltd	B-	609-64-9023	441
(Decimal('40.500363'), Decimal('107.876421'))		2019-08-12	89	dmercantini@fastwebnet.it		Sig. Luchino Pisani		romanafittipaldi	Morpurgo-Garibaldi e figli	O-	MNLRSN18S23C215X	48
(Decimal('-30.0013455'), Decimal('155.383676'))	福井県浦安市麹町27丁目15番13号	02 Aug 2025	1599	kenichi60@hotmail.com		近藤 修平		kobayashirei	高橋保険株式会社	B+	790-44-8630	475
(Decimal('-62.1457975'), Decimal('-87.932865'))		2022/02/03	839	tomwilliams@hotmail.com		Brianna Espinoza	Building services engineer	melissawallace	Todd Inc	O+	369-02-2528	597
(Decimal('0.7790255'), Decimal('77.819305'))	"Canale Ivo, 34
33033, Beano (UD)"	2024-12-09	537	antoniettavecoli@gmail.com		Silvio Veneziano		camillo79	Caccioppoli SPA	AB+	ZPPGMM07S25F398W	666
(Decimal('80.3721845'), Decimal('-24.810894'))		22 Dec 2021	1243	lambkaren@hotmail.com		David Collins		haynesjennifer	Brooks-Brooks	O-	786-90-3629	94
(Decimal('-20.066228'), Decimal('-29.490290'))	"Neureutherplatz 577
92349 Fulda"	03 Sep 2024	1889	mariefaust@gmail.com		Ing. Ayse Schottin B.Eng.		twarmer	Schönland AG & Co. KG	B-	964-55-3445	175
(Decimal('-89.0413895'), Decimal('103.863288'))	"Stretto Paoletti, 7 Appartamento 72
10068, Villafranca Piemonte (TO)"	30 Nov 2024	809	dboitani@libero.it		Maura Maggioli	Communications engineer	smascheroni	Strangio, Benedetti e Chiesa e figli	B-	CSTGRC13T09A355M	684
(Decimal('30.958436'), Decimal('153.367297'))		2022-08-19	710	obranciforte@hotmail.com		Dott. Silvestro Carosone	Physicist, medical	mircorapisardi	Costanzi-Righi e figli	AB-	VLTGSI63A49H033T	549
(Decimal('-59.092667'), Decimal('-46.919921'))	"Abraham-Mans-Weg 6
79200 Geithain"	2023/05/24	1165	koehlergert@yahoo.de		Ing. Adrian Pruschke		tlorch	Juncken KG	O+	743-49-0327	411
(Decimal('-10.454059'), Decimal('-65.882305'))	"Canale Pierpaolo, 349
24050, Mozzanica (BG)"	05/08/2024, 00:00:00	1011	apignatti@libero.it		Gloria Caetani	Science writer	lgiusti	Murri-Donarelli Group	A+	PVNNCL31A59D764N	684
(Decimal('2.502757'), Decimal('-177.140932'))	"25654 Mcbride Points
Turnerview, OK 02131"	04/15/2021, 00:00:00	280	jamiegutierrez@gmail.com		Sheri Nichols MD	Tax inspector	ashley81	Franklin Inc	B-	304-68-5699	506
(Decimal('-63.8211605'), Decimal('-158.691866'))	"Loteamento de Silva, 11
Carmo
77246-347 Monteiro / RO"	04/14/2022, 00:00:00	296	isabel21@uol.com.br		Raquel Macedo	Fisioterapeuta	benjamim19	Almeida	O-	92150378450	412
(Decimal('54.6287925'), Decimal('-153.278275'))		2019-08-20	481	jacquelinecichorius@gmail.com		Ronny Schüler	Fachinformatiker	foersterboris	Reuter Adolph GmbH & Co. KGaA	B+	176-99-4280	655
(Decimal('49.9202385'), Decimal('117.945051'))	"Peter-Michael-Hauffer-Ring 4015
33153 Kronach"	2018/10/16	387	jerzyhande@gmail.com		Gudula Trommler		heringsiegmar	Weinhold	B-	379-62-7687	277
(Decimal('82.9328555'), Decimal('55.579190'))	山形県板橋区平須賀16丁目16番20号 湯本塩原コーポ792	08/09/2024, 00:00:00	1161	hiroshikobayashi@hotmail.com		村上 さゆり		yamamototaro	福田ガス株式会社	AB+	334-69-2171	40
(Decimal('80.1937935'), Decimal('78.805441'))	"34020 Kimberly Run
Ericburgh, GA 42395"	2025-07-27	248	stonecharles@yahoo.com		Jennifer Smith		gonzalezdiane	Hinton, Luna and Ramirez	AB+	210-99-8324	366
(Decimal('-13.9096155'), Decimal('26.456735'))	"Stretto Brunello, 9 Appartamento 89
38100, Cognola (TN)"	2021-03-31	102	isa27@gmail.com		Lucio Montanelli	Armed forces technical officer	pierpaolo90	Aporti SPA	O-	GSSRST46A60E106F	720
(Decimal('4.135488'), Decimal('-7.872905'))	"Recanto Gabrielly Pacheco, 520
Universitário
34499-818 Dias do Norte / AL"	28 Apr 2020	712	nicolepastor@ig.com.br		Rafael Pires	Profissional de informática	oleao	Rodrigues Caldeira S.A.	A+	91840765348	232
(Decimal('73.2549325'), Decimal('137.430190'))	"61850 Sharon Vista Suite 250
North Veronica, FM 12034"	2020/05/19	728	daniel03@gmail.com		Andrea Bullock	Cytogeneticist	kingjulie	Fisher, Mills and Santos	B+	419-09-8605	387
(Decimal('58.1687265'), Decimal('-52.637942'))	"Roberto-Margraf-Straße 59/75
24994 Gransee"	28 Jul 2019	629	ruppertsigfried@hotmail.de		Kaspar Pärtzelt		kirageisler	Schweitzer GmbH & Co. KG	B+	674-86-2014	688
(Decimal('61.0845055'), Decimal('-70.860933'))	"Stretto Victoria, 840
08035, Nurri (CA)"	2019-07-16	1018	ttotino@yahoo.com		Loretta Ferraris		santipatrizio	Florio, Gaggini e Tartaglia SPA	AB+	FLLTLL65M60B131H	500
(Decimal('55.973925'), Decimal('61.678182'))	"Quadra Daniel Fernandes, 8
Vila Nova Paraíso
59647114 Cassiano das Flores / AC"	13 Mar 2022	1710	bryan05@gmail.com		Ana Lívia Novais		juliaalmeida	Barros - EI	AB-	72864135035	305
(Decimal('2.0824565'), Decimal('-88.772979'))	山形県長生郡長生村吾妻橋19丁目11番10号 雷門ハイツ334	08/30/2022, 00:00:00	940	inouenaoki@hotmail.com		中村 くみ子		agoto	有限会社中島水産	AB-	153-03-5170	402
	"Thoralf-Haering-Platz 23
41559 Waldmünchen"	22 Jan 2019	986	heinz-georgeberhardt@gmx.de		Dorle Rose B.A.		roggecaroline	Geisler Ziegert AG & Co. OHG	O+	870-84-4752	52
(Decimal('-30.6967635'), Decimal('112.619666'))	"Hethurallee 6-1
85465 Kyritz"	12/14/2022, 00:00:00	504	zahnguenter@googlemail.com		Marko Stadelmann		rfischer	Ebert GmbH & Co. KG	AB+	841-21-6208	94
(Decimal('54.044619'), Decimal('-114.216079'))	"2872 Daniel Ways Suite 061
North Carol, NH 55079"	2023/11/01	1366	antonio03@hotmail.com		Michael Hernandez		anita15	Rodriguez-Watts	B+	444-88-1538	184
(Decimal('-24.922626'), Decimal('144.899329'))	"Klaus-Günter-Nohlmans-Platz 158
59542 Dachau"	25 Dec 2024	740	saeuberlichnora@googlemail.com		Ing. Rebekka Hartmann		conradivaleri	Finke	A-	962-06-4808	589
(Decimal('6.3994335'), Decimal('-142.401202'))	"Strada Durante, 91
93100, Villaggio Santa Barbara (CL)"	12/02/2021, 00:00:00	1695	federigo18@outlook.com		Loredana Zaccardo	Ambulance person	giannaborsellino	Notarbartolo SPA	B-	QSMLCN94S09E843H	364
(Decimal('-81.9879955'), Decimal('140.073287'))	"Distrito Jesus
Indaiá
08249627 Fonseca / PB"	07/02/2022, 00:00:00	351	milenacamara@hotmail.com		Dr. João Pedro Cirino		natalia41	Rios	B-	49031275670	177
(Decimal('58.2213165'), Decimal('-151.217919'))	"2275 Kenneth Branch
Blackburnton, NC 98515"	15 Apr 2019	1822	smithchristina@yahoo.com		Katherine Petersen		srichardson	Williams, Kim and Henry	O-	671-09-5157	270
(Decimal('44.8010185'), Decimal('-13.396635'))	"664 Lauren Loaf
Anthonychester, GA 53861"	09 Jul 2020	996	lsmith@hotmail.com		Lawrence Davenport		masseydonna	Steele, Clark and White	O+	496-24-9684	57
(Decimal('-32.462941'), Decimal('48.265488'))	"Jardim Correia, 86
Alípio De Melo
84581020 Correia Verde / GO"	2025-06-26	446	portoclarice@ig.com.br		Dra. Maria Fernanda Sá		vcirino	Caldeira Pinto Ltda.	B-	71435086910	708
(Decimal('-66.062264'), Decimal('72.338411'))	"Lagoa Maria Luiza Barbosa, 20
Independência
53939-447 Farias / PE"	23 Dec 2018	1896	almeidavitor@hotmail.com		Emanuelly Siqueira		borgesleticia	Oliveira Câmara - ME	AB+	90326745106	14
(Decimal('40.1121385'), Decimal('-76.126918'))		07 Dec 2019	950	torquatosatriani@gmail.com		Dott. Ottone Federico		cipriano71	Rienzo-Cortese Group	O-	BBGPCC48H46F326Q	672
